Territory X Date,target
Afghanistan X 5/11/20,0
Afghanistan X 5/12/20,0
Afghanistan X 5/13/20,0
Afghanistan X 5/14/20,0
Afghanistan X 5/15/20,0
Afghanistan X 5/16/20,0
Afghanistan X 5/17/20,0
Albania X 5/11/20,0
Albania X 5/12/20,0
Albania X 5/13/20,0
Albania X 5/14/20,0
Albania X 5/15/20,0
Albania X 5/16/20,0
Albania X 5/17/20,0
Algeria X 5/11/20,0
Algeria X 5/12/20,0
Algeria X 5/13/20,0
Algeria X 5/14/20,0
Algeria X 5/15/20,0
Algeria X 5/16/20,0
Algeria X 5/17/20,0
Andorra X 5/11/20,0
Andorra X 5/12/20,0
Andorra X 5/13/20,0
Andorra X 5/14/20,0
Andorra X 5/15/20,0
Andorra X 5/16/20,0
Andorra X 5/17/20,0
Angola X 5/11/20,0
Angola X 5/12/20,0
Angola X 5/13/20,0
Angola X 5/14/20,0
Angola X 5/15/20,0
Angola X 5/16/20,0
Angola X 5/17/20,0
Antigua and Barbuda X 5/11/20,0
Antigua and Barbuda X 5/12/20,0
Antigua and Barbuda X 5/13/20,0
Antigua and Barbuda X 5/14/20,0
Antigua and Barbuda X 5/15/20,0
Antigua and Barbuda X 5/16/20,0
Antigua and Barbuda X 5/17/20,0
Argentina X 5/11/20,0
Argentina X 5/12/20,0
Argentina X 5/13/20,0
Argentina X 5/14/20,0
Argentina X 5/15/20,0
Argentina X 5/16/20,0
Argentina X 5/17/20,0
Armenia X 5/11/20,0
Armenia X 5/12/20,0
Armenia X 5/13/20,0
Armenia X 5/14/20,0
Armenia X 5/15/20,0
Armenia X 5/16/20,0
Armenia X 5/17/20,0
Australia X 5/11/20,0
Australia X 5/12/20,0
Australia X 5/13/20,0
Australia X 5/14/20,0
Australia X 5/15/20,0
Australia X 5/16/20,0
Australia X 5/17/20,0
Austria X 5/11/20,0
Austria X 5/12/20,0
Austria X 5/13/20,0
Austria X 5/14/20,0
Austria X 5/15/20,0
Austria X 5/16/20,0
Austria X 5/17/20,0
Azerbaijan X 5/11/20,0
Azerbaijan X 5/12/20,0
Azerbaijan X 5/13/20,0
Azerbaijan X 5/14/20,0
Azerbaijan X 5/15/20,0
Azerbaijan X 5/16/20,0
Azerbaijan X 5/17/20,0
Bahrain X 5/11/20,0
Bahrain X 5/12/20,0
Bahrain X 5/13/20,0
Bahrain X 5/14/20,0
Bahrain X 5/15/20,0
Bahrain X 5/16/20,0
Bahrain X 5/17/20,0
Bangladesh X 5/11/20,0
Bangladesh X 5/12/20,0
Bangladesh X 5/13/20,0
Bangladesh X 5/14/20,0
Bangladesh X 5/15/20,0
Bangladesh X 5/16/20,0
Bangladesh X 5/17/20,0
Barbados X 5/11/20,0
Barbados X 5/12/20,0
Barbados X 5/13/20,0
Barbados X 5/14/20,0
Barbados X 5/15/20,0
Barbados X 5/16/20,0
Barbados X 5/17/20,0
Belarus X 5/11/20,0
Belarus X 5/12/20,0
Belarus X 5/13/20,0
Belarus X 5/14/20,0
Belarus X 5/15/20,0
Belarus X 5/16/20,0
Belarus X 5/17/20,0
Belgium X 5/11/20,0
Belgium X 5/12/20,0
Belgium X 5/13/20,0
Belgium X 5/14/20,0
Belgium X 5/15/20,0
Belgium X 5/16/20,0
Belgium X 5/17/20,0
Belize X 5/11/20,0
Belize X 5/12/20,0
Belize X 5/13/20,0
Belize X 5/14/20,0
Belize X 5/15/20,0
Belize X 5/16/20,0
Belize X 5/17/20,0
Benin X 5/11/20,0
Benin X 5/12/20,0
Benin X 5/13/20,0
Benin X 5/14/20,0
Benin X 5/15/20,0
Benin X 5/16/20,0
Benin X 5/17/20,0
Bhutan X 5/11/20,0
Bhutan X 5/12/20,0
Bhutan X 5/13/20,0
Bhutan X 5/14/20,0
Bhutan X 5/15/20,0
Bhutan X 5/16/20,0
Bhutan X 5/17/20,0
Bosnia and Herzegovina X 5/11/20,0
Bosnia and Herzegovina X 5/12/20,0
Bosnia and Herzegovina X 5/13/20,0
Bosnia and Herzegovina X 5/14/20,0
Bosnia and Herzegovina X 5/15/20,0
Bosnia and Herzegovina X 5/16/20,0
Bosnia and Herzegovina X 5/17/20,0
Botswana X 5/11/20,0
Botswana X 5/12/20,0
Botswana X 5/13/20,0
Botswana X 5/14/20,0
Botswana X 5/15/20,0
Botswana X 5/16/20,0
Botswana X 5/17/20,0
Brazil X 5/11/20,0
Brazil X 5/12/20,0
Brazil X 5/13/20,0
Brazil X 5/14/20,0
Brazil X 5/15/20,0
Brazil X 5/16/20,0
Brazil X 5/17/20,0
Bulgaria X 5/11/20,0
Bulgaria X 5/12/20,0
