Territory X Date,target
Afghanistan X 2020/05/13,132
Afghanistan X 2020/05/14,136
Afghanistan X 2020/05/15,153
Afghanistan X 2020/05/16,168
Afghanistan X 2020/05/17,169
Afghanistan X 2020/05/18,173
Afghanistan X 2020/05/19,178
Albania X 2020/05/13,31
Albania X 2020/05/14,31
Albania X 2020/05/15,31
Albania X 2020/05/16,31
Albania X 2020/05/17,31
Albania X 2020/05/18,31
Albania X 2020/05/19,31
Algeria X 2020/05/13,522
Algeria X 2020/05/14,529
Algeria X 2020/05/15,536
Algeria X 2020/05/16,542
Algeria X 2020/05/17,548
Algeria X 2020/05/18,555
Algeria X 2020/05/19,561
Angola X 2020/05/13,2
Angola X 2020/05/14,2
Angola X 2020/05/15,2
Angola X 2020/05/16,2
Angola X 2020/05/17,2
Angola X 2020/05/18,3
Angola X 2020/05/19,3
Antigua and Barbuda X 2020/05/13,3
Antigua and Barbuda X 2020/05/14,3
Antigua and Barbuda X 2020/05/15,3
Antigua and Barbuda X 2020/05/16,3
Antigua and Barbuda X 2020/05/17,3
Antigua and Barbuda X 2020/05/18,3
Antigua and Barbuda X 2020/05/19,3
Argentina X 2020/05/13,329
Argentina X 2020/05/14,353
Argentina X 2020/05/15,356
Argentina X 2020/05/16,363
Argentina X 2020/05/17,373
Argentina X 2020/05/18,382
Argentina X 2020/05/19,393
Armenia X 2020/05/13,48
Armenia X 2020/05/14,49
Armenia X 2020/05/15,52
Armenia X 2020/05/16,55
Armenia X 2020/05/17,60
Armenia X 2020/05/18,61
Armenia X 2020/05/19,64
Australia X 2020/05/13,98
Australia X 2020/05/14,98
Australia X 2020/05/15,98
Australia X 2020/05/16,98
Australia X 2020/05/17,98
Australia X 2020/05/18,99
Australia X 2020/05/19,100
Austria X 2020/05/13,624
Austria X 2020/05/14,626
Austria X 2020/05/15,628
Austria X 2020/05/16,629
Austria X 2020/05/17,629
Austria X 2020/05/18,629
Austria X 2020/05/19,632
Azerbaijan X 2020/05/13,35
Azerbaijan X 2020/05/14,35
Azerbaijan X 2020/05/15,36
Azerbaijan X 2020/05/16,36
Azerbaijan X 2020/05/17,39
Azerbaijan X 2020/05/18,40
Azerbaijan X 2020/05/19,41
Bahrain X 2020/05/13,10
Bahrain X 2020/05/14,10
Bahrain X 2020/05/15,12
Bahrain X 2020/05/16,12
Bahrain X 2020/05/17,12
Bahrain X 2020/05/18,12
Bahrain X 2020/05/19,12
Bangladesh X 2020/05/13,269
Bangladesh X 2020/05/14,283
Bangladesh X 2020/05/15,298
Bangladesh X 2020/05/16,314
Bangladesh X 2020/05/17,328
Bangladesh X 2020/05/18,349
Bangladesh X 2020/05/19,370
Barbados X 2020/05/13,7
Barbados X 2020/05/14,7
Barbados X 2020/05/15,7
Barbados X 2020/05/16,7
Barbados X 2020/05/17,7
Barbados X 2020/05/18,7
Barbados X 2020/05/19,7
Belarus X 2020/05/13,146
Belarus X 2020/05/14,151
Belarus X 2020/05/15,156
Belarus X 2020/05/16,160
Belarus X 2020/05/17,165
Belarus X 2020/05/18,171
Belarus X 2020/05/19,175
Belgium X 2020/05/13,8843
Belgium X 2020/05/14,8903
Belgium X 2020/05/15,8959
Belgium X 2020/05/16,9005
Belgium X 2020/05/17,9052
Belgium X 2020/05/18,9080
Belgium X 2020/05/19,9108
Belize X 2020/05/13,2
Belize X 2020/05/14,2
Belize X 2020/05/15,2
Belize X 2020/05/16,2
Belize X 2020/05/17,2
Belize X 2020/05/18,2
Belize X 2020/05/19,2
Benin X 2020/05/13,2
Benin X 2020/05/14,2
Benin X 2020/05/15,2
Benin X 2020/05/16,2
Benin X 2020/05/17,2
Benin X 2020/05/18,2
