Territory X Date,confirmed,recovered,death,cov_year,cov_month,cov_day,Continent_C,Continent_F,Continent_M,Continent_S,Continent_U,Pop_Bin_very low pop,Pop_Bin_low pop,Pop_Bin_high pop,Pop_Bin_very high pop
Andorra X 01/22/20,0,0,0,2020,1,22,0,0,0,0,1,0,0,1,0
Andorra X 01/23/20,0,0,0,2020,1,23,0,0,0,0,1,0,0,1,0
Andorra X 01/24/20,0,0,0,2020,1,24,0,0,0,0,1,0,0,1,0
Andorra X 01/25/20,0,0,0,2020,1,25,0,0,0,0,1,0,0,1,0
Andorra X 01/26/20,0,0,0,2020,1,26,0,0,0,0,1,0,0,1,0
Andorra X 01/27/20,0,0,0,2020,1,27,0,0,0,0,1,0,0,1,0
Andorra X 01/28/20,0,0,0,2020,1,28,0,0,0,0,1,0,0,1,0
Andorra X 01/29/20,0,0,0,2020,1,29,0,0,0,0,1,0,0,1,0
Andorra X 01/30/20,0,0,0,2020,1,30,0,0,0,0,1,0,0,1,0
Andorra X 01/31/20,0,0,0,2020,1,31,0,0,0,0,1,0,0,1,0
Andorra X 02/01/20,0,0,0,2020,2,1,0,0,0,0,1,0,0,1,0
Andorra X 02/02/20,0,0,0,2020,2,2,0,0,0,0,1,0,0,1,0
Andorra X 02/03/20,0,0,0,2020,2,3,0,0,0,0,1,0,0,1,0
Andorra X 02/04/20,0,0,0,2020,2,4,0,0,0,0,1,0,0,1,0
Andorra X 02/05/20,0,0,0,2020,2,5,0,0,0,0,1,0,0,1,0
Andorra X 02/06/20,0,0,0,2020,2,6,0,0,0,0,1,0,0,1,0
Andorra X 02/07/20,0,0,0,2020,2,7,0,0,0,0,1,0,0,1,0
Andorra X 02/08/20,0,0,0,2020,2,8,0,0,0,0,1,0,0,1,0
Andorra X 02/09/20,0,0,0,2020,2,9,0,0,0,0,1,0,0,1,0
Andorra X 02/10/20,0,0,0,2020,2,10,0,0,0,0,1,0,0,1,0
Andorra X 02/11/20,0,0,0,2020,2,11,0,0,0,0,1,0,0,1,0
Andorra X 02/12/20,0,0,0,2020,2,12,0,0,0,0,1,0,0,1,0
Andorra X 02/13/20,0,0,0,2020,2,13,0,0,0,0,1,0,0,1,0
Andorra X 02/14/20,0,0,0,2020,2,14,0,0,0,0,1,0,0,1,0
Andorra X 02/15/20,0,0,0,2020,2,15,0,0,0,0,1,0,0,1,0
Andorra X 02/16/20,0,0,0,2020,2,16,0,0,0,0,1,0,0,1,0
Andorra X 02/17/20,0,0,0,2020,2,17,0,0,0,0,1,0,0,1,0
Andorra X 02/18/20,0,0,0,2020,2,18,0,0,0,0,1,0,0,1,0
Andorra X 02/19/20,0,0,0,2020,2,19,0,0,0,0,1,0,0,1,0
Andorra X 02/20/20,0,0,0,2020,2,20,0,0,0,0,1,0,0,1,0
Andorra X 02/21/20,0,0,0,2020,2,21,0,0,0,0,1,0,0,1,0
Andorra X 02/22/20,0,0,0,2020,2,22,0,0,0,0,1,0,0,1,0
Andorra X 02/23/20,0,0,0,2020,2,23,0,0,0,0,1,0,0,1,0
Andorra X 02/24/20,0,0,0,2020,2,24,0,0,0,0,1,0,0,1,0
Andorra X 02/25/20,0,0,0,2020,2,25,0,0,0,0,1,0,0,1,0
Andorra X 02/26/20,0,0,0,2020,2,26,0,0,0,0,1,0,0,1,0
Andorra X 02/27/20,0,0,0,2020,2,27,0,0,0,0,1,0,0,1,0
Andorra X 02/28/20,0,0,0,2020,2,28,0,0,0,0,1,0,0,1,0
Andorra X 02/29/20,0,0,0,2020,2,29,0,0,0,0,1,0,0,1,0
Andorra X 03/01/20,0,0,0,2020,3,1,0,0,0,0,1,0,0,1,0
Andorra X 03/02/20,1,0,0,2020,3,2,0,0,0,0,1,0,0,1,0
Andorra X 03/03/20,1,0,0,2020,3,3,0,0,0,0,1,0,0,1,0
Andorra X 03/04/20,1,0,0,2020,3,4,0,0,0,0,1,0,0,1,0
Andorra X 03/05/20,1,0,0,2020,3,5,0,0,0,0,1,0,0,1,0
Andorra X 03/06/20,1,0,0,2020,3,6,0,0,0,0,1,0,0,1,0
Andorra X 03/07/20,1,0,0,2020,3,7,0,0,0,0,1,0,0,1,0
Andorra X 03/08/20,1,0,0,2020,3,8,0,0,0,0,1,0,0,1,0
Andorra X 03/09/20,1,0,0,2020,3,9,0,0,0,0,1,0,0,1,0
Andorra X 03/10/20,1,0,0,2020,3,10,0,0,0,0,1,0,0,1,0
Andorra X 03/11/20,1,0,0,2020,3,11,0,0,0,0,1,0,0,1,0
Andorra X 03/12/20,1,0,0,2020,3,12,0,0,0,0,1,0,0,1,0
Andorra X 03/13/20,1,1,0,2020,3,13,0,0,0,0,1,0,0,1,0
Andorra X 03/14/20,1,1,0,2020,3,14,0,0,0,0,1,0,0,1,0
Andorra X 03/15/20,1,1,0,2020,3,15,0,0,0,0,1,0,0,1,0
Andorra X 03/16/20,2,1,0,2020,3,16,0,0,0,0,1,0,0,1,0
Andorra X 03/17/20,39,1,0,2020,3,17,0,0,0,0,1,0,0,1,0
Andorra X 03/18/20,39,1,0,2020,3,18,0,0,0,0,1,0,0,1,0
Andorra X 03/19/20,53,1,0,2020,3,19,0,0,0,0,1,0,0,1,0
Andorra X 03/20/20,75,1,0,2020,3,20,0,0,0,0,1,0,0,1,0
Andorra X 03/21/20,88,1,0,2020,3,21,0,0,0,0,1,0,0,1,0
Andorra X 03/22/20,113,1,1,2020,3,22,0,0,0,0,1,0,0,1,0
Andorra X 03/23/20,133,1,1,2020,3,23,0,0,0,0,1,0,0,1,0
Andorra X 03/24/20,164,1,1,2020,3,24,0,0,0,0,1,0,0,1,0
Andorra X 03/25/20,188,1,1,2020,3,25,0,0,0,0,1,0,0,1,0
Andorra X 03/26/20,224,1,3,2020,3,26,0,0,0,0,1,0,0,1,0
Andorra X 03/27/20,267,1,3,2020,3,27,0,0,0,0,1,0,0,1,0
Andorra X 03/28/20,308,1,3,2020,3,28,0,0,0,0,1,0,0,1,0
Andorra X 03/29/20,334,1,6,2020,3,29,0,0,0,0,1,0,0,1,0
Andorra X 03/30/20,370,10,8,2020,3,30,0,0,0,0,1,0,0,1,0
Andorra X 03/31/20,376,10,12,2020,3,31,0,0,0,0,1,0,0,1,0
Andorra X 04/01/20,390,10,14,2020,4,1,0,0,0,0,1,0,0,1,0
Andorra X 04/02/20,428,10,15,2020,4,2,0,0,0,0,1,0,0,1,0
Andorra X 04/03/20,439,16,16,2020,4,3,0,0,0,0,1,0,0,1,0
Andorra X 04/04/20,466,21,17,2020,4,4,0,0,0,0,1,0,0,1,0
Andorra X 04/05/20,501,26,18,2020,4,5,0,0,0,0,1,0,0,1,0
Andorra X 04/06/20,525,31,21,2020,4,6,0,0,0,0,1,0,0,1,0
Andorra X 04/07/20,545,39,22,2020,4,7,0,0,0,0,1,0,0,1,0
Andorra X 04/08/20,564,52,23,2020,4,8,0,0,0,0,1,0,0,1,0
Andorra X 04/09/20,583,58,25,2020,4,9,0,0,0,0,1,0,0,1,0
Andorra X 04/10/20,601,71,26,2020,4,10,0,0,0,0,1,0,0,1,0
Andorra X 04/11/20,601,71,26,2020,4,11,0,0,0,0,1,0,0,1,0
Andorra X 04/12/20,638,128,29,2020,4,12,0,0,0,0,1,0,0,1,0
Andorra X 04/13/20,646,128,29,2020,4,13,0,0,0,0,1,0,0,1,0
Andorra X 04/14/20,659,128,31,2020,4,14,0,0,0,0,1,0,0,1,0
Andorra X 04/15/20,673,169,33,2020,4,15,0,0,0,0,1,0,0,1,0
Andorra X 04/16/20,673,169,33,2020,4,16,0,0,0,0,1,0,0,1,0
Andorra X 04/17/20,696,191,35,2020,4,17,0,0,0,0,1,0,0,1,0
Andorra X 04/18/20,704,205,35,2020,4,18,0,0,0,0,1,0,0,1,0
Andorra X 04/19/20,713,235,36,2020,4,19,0,0,0,0,1,0,0,1,0
Andorra X 04/20/20,717,248,37,2020,4,20,0,0,0,0,1,0,0,1,0
Andorra X 04/21/20,717,282,37,2020,4,21,0,0,0,0,1,0,0,1,0
Andorra X 04/22/20,723,309,37,2020,4,22,0,0,0,0,1,0,0,1,0
Andorra X 04/23/20,723,333,37,2020,4,23,0,0,0,0,1,0,0,1,0
Andorra X 04/24/20,731,333,40,2020,4,24,0,0,0,0,1,0,0,1,0
Andorra X 04/25/20,738,344,40,2020,4,25,0,0,0,0,1,0,0,1,0
Andorra X 04/26/20,738,344,40,2020,4,26,0,0,0,0,1,0,0,1,0
Andorra X 04/27/20,738,344,40,2020,4,27,0,0,0,0,1,0,0,1,0
